"Result  :  Query Result"
"Save Time: 03/01/2019 13:32:49"

"User Name:xli"

"Total 27,350   Records"

"Start Time","Period","NE Name","ABCF SIP ACCESS NETWORK","Audio Codec EVS Conversions (times)","Audio Codec EVS Transparent Transmissions (times)","Wideband Codec Conversions Between EVS and AMR (times)","Wideband Codec Conversions Between EVS and AMR-WB (times)","Wideband Codec Conversions Between EVS and EVS (times)","Wideband Codec Conversions Between EVS and G.722 (times)","Wideband Codec Conversions Between EVS and G.723 (times)","Wideband Codec Conversions Between EVS and G.729 (times)","Wideband Codec Conversions Between EVS and iLBC (times)","Wideband Codec Conversions Between EVS and PCMA (times)","Wideband Codec Conversions Between EVS and PCMU (times)"
02/01/2019 04:30:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,216,0,0,0,0,0,0,0,0,0
02/01/2019 04:30:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",6,0,0,6,0,0,0,0,0,0,0
02/01/2019 04:30:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,114,0,0,0,0,0,0,0,0,0
02/01/2019 04:30:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",14,0,0,14,0,0,0,0,0,0,0
02/01/2019 04:30:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,160,0,0,0,0,0,0,0,0,0
02/01/2019 04:30:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",10,0,0,10,0,0,0,0,0,0,0
02/01/2019 04:30:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,104,0,0,0,0,0,0,0,0,0
02/01/2019 04:30:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",12,0,0,12,0,0,0,0,0,0,0
02/01/2019 04:30:00,15,"mnch4imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,110,0,0,0,0,0,0,0,0,0
02/01/2019 04:45:00,15,"rn2imsbc031","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",25,0,0,25,0,0,0,0,0,0,0
02/01/2019 04:45:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,220,0,0,0,0,0,0,0,0,0
02/01/2019 04:45:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",17,0,0,17,0,0,0,0,0,0,0
02/01/2019 04:45:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,101,0,0,0,0,0,0,0,0,0
02/01/2019 04:45:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",18,0,0,18,0,0,0,0,0,0,0
02/01/2019 04:45:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,130,0,0,0,0,0,0,0,0,0
02/01/2019 04:45:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",6,0,0,6,0,0,0,0,0,0,0
02/01/2019 04:45:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,101,0,0,0,0,0,0,0,0,0
02/01/2019 04:45:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",17,0,0,17,0,0,0,0,0,0,0
02/01/2019 04:45:00,15,"mnch4imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,127,0,0,0,0,0,0,0,0,0
02/01/2019 05:00:00,15,"rn2imsbc031","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",33,0,0,33,0,0,0,0,0,0,0
02/01/2019 05:00:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,308,0,0,0,0,0,0,0,0,0
02/01/2019 05:00:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",29,0,0,29,0,0,0,0,0,0,0
02/01/2019 05:00:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,188,0,0,0,0,0,0,0,0,0
02/01/2019 05:00:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",20,0,0,20,0,0,0,0,0,0,0
02/01/2019 05:00:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,283,0,0,0,0,0,0,0,0,0
02/01/2019 05:00:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",28,0,0,28,0,0,0,0,0,0,0
02/01/2019 05:00:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,217,0,0,0,0,0,0,0,0,0
02/01/2019 05:00:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",11,0,0,11,0,0,0,0,0,0,0
02/01/2019 05:00:00,15,"mnch4imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,175,0,0,0,0,0,0,0,0,0
02/01/2019 05:15:00,15,"rn2imsbc031","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",59,0,0,59,0,0,0,0,0,0,0
02/01/2019 05:15:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,366,0,0,0,0,0,0,0,0,0
02/01/2019 05:15:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",18,0,0,18,0,0,0,0,0,0,0
02/01/2019 05:15:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,157,0,0,0,0,0,0,0,0,0
02/01/2019 05:15:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",21,0,0,21,0,0,0,0,0,0,0
02/01/2019 05:15:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,297,0,0,0,0,0,0,0,0,0
02/01/2019 05:15:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",8,0,0,8,0,0,0,0,0,0,0
02/01/2019 05:15:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,210,0,0,0,0,0,0,0,0,0
02/01/2019 05:15:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",30,0,0,30,0,0,0,0,0,0,0
02/01/2019 05:15:00,15,"mnch4imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,291,0,0,0,0,0,0,0,0,0
02/01/2019 05:30:00,15,"rn2imsbc031","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",67,0,0,67,0,0,0,0,0,0,0
02/01/2019 05:30:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,461,0,0,0,0,0,0,0,0,0
02/01/2019 05:30:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",29,0,0,29,0,0,0,0,0,0,0
02/01/2019 05:30:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,187,0,0,0,0,0,0,0,0,0
02/01/2019 05:30:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",29,0,0,29,0,0,0,0,0,0,0
02/01/2019 05:30:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,325,0,0,0,0,0,0,0,0,0
02/01/2019 05:30:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",15,0,0,15,0,0,0,0,0,0,0
02/01/2019 05:30:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,311,0,0,0,0,0,0,0,0,0
02/01/2019 05:30:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",26,0,0,26,0,0,0,0,0,0,0
